mos	fr	en
Lar kʋʋda yẽbg pa baagd lar n lob koomẽ ye.	Quand on dit que la hache tue le caïman, il ne s'agit pas de la jeter dans l'eau. (Proverbe: pour qu'une solution soit efficace, il faut l'appliquer avec toute la rigueur qu’elle exige, sinon les résultats escomptés ne seront pas atteints.)	When we say that the axe kills the crocodile, it's not about throwing it into the water. (Proverb: For a solution to be effective, it must be applied with all the rigour it requires, otherwise the desired results will not be achieved.)
Weef sã n kaooge, a lebda a baarẽ.	Si un cheval s'échappe, il retournera à son pieu d'attache (à domicile). (proverbe: la vérité sera toujours rétablie au détriment du mensonge, de même, la justice triomphera de l'injustice)	If a horse escapes, it will return to its home (home) stake. (proverb: truth will always be restored to the detriment of lies, likewise, justice will triumph over injustice)
A baas n kiime?	Est-il mort quand même ?	He died after all?
B zĩime tɩ ya babg la laad bala.	Ils sont en train de blaguer et de rire.	They are joking and laughing.
Babs f ma raagẽ.	Va rejoindre ta mère au marché.	Go join your mother at the market.
Mam zɩ n yã nin-kãnga bada.	Je n'ai jamais vu cette personne.	I have never seen this person.
B pa tũ taab ye, b waa badem-badma.	Ils ne sont pas venus ensemble, mais séparément.	They did not come together, but separately.
So-badgã.	La bifurcation de la route.	The road's separation point /bifurcation.
Badg-b la f ra naag-b taab ye.	Sépare-les, ne les mélange pas.	Separate them, don't mix them.
A yɛsame n digd bag-bage.	Il est étonné et tremble fortement.	He is astonished and is shaking strongly.
sɩlem bag-bage yaa sɩlem-kẽkdga.	sɩlem bag-bage yaa sɩlem-kẽkdga.	sɩlem bag-bage yaa sɩlem-kẽkdga.
Nif sẽn ne, ka bag n yet ye.	Ce qu l’œil voit n'a pas besoin d'être dit par le devin. (proverbe: l'évidence n'a pas besoin de preuves.)	What the eye sees does not need to be said by the diviner. (proverb: evidence does not need proofs.)
Zĩiga wɩnga baga.	L'endroit a fortement chauffé.	the place got very hot.
Wa kẽ maasmẽ tɩ rũndã wĩntoogã yaa wĩnto-bagdga.	Viens à l'ombre car aujourd'hui la chaleur est torride.	Come to the shade because today the heat is scorching.
A taa so-bakẽ	Il est arrivé à la bifurcation de la route.	He arrived at the fork in the road.
Laafɩ bala. Yaa sɩd bala.	La santé seulement. C'est la vérité seulement.	Peace only. It is only the truth.
A ka na n tõog n wa ye, bala, a zoa wã yĩns zabdame.	Il ne pourra pas venir, car son ami est malade.	He won't be able to come, because his friend is ill.
fo kẽnga balaabtoogo	tu est allé loin.	you went far away.
Wẽnd n band zoang ki.	Proverbe: C'est Dieu qui épierre le mil de l'aveugle. (sens: on doit toujours garde espoir)	Proverb: It is God who takes out the stones in the grains for the blind person. (keep on hoping)
Balg bɛngã la f bas ki wã.	Sépare les haricots du mil.	Separate the beans from the millet.
B rag n sẽbda yẽnda ne bãense, n balg a nao wã ne kutu, la a rag n kaooda a sẽbdsã.	On le gardait lié de chaînes, et les fers aux pieds, mais il rompait ses liens	He was kept under guard and bound with chains and shackles, but he would break the bonds.
A yĩngã yaa balsende.	Son corps est un peu chaud.	His body is a bit hot.
Mam baooda foo.	Je te cherche.	I am looking for you.
Kambã baooda koomã.	Les enfants clapotent de l'eau.	The children splash water.
no-baolengo (no-tolengo)	bouche prognathe	undershot mouth
Wẽnd kũun yɩɩd baoobo.	Ce que Dieu a donné dépasse ce que l'on cherche. (Proverbe: dans toute entreprise humaine, Dieu a une place très importante.)	What God has given exceeds what we are looking for. (Proverb: In every human endeavour, God has a very important place.)
F sã n dat yũug n kʋ, f baooda no-kõbd n be a noore (la f yet t'a yõka noaaga).	Quand on veut tuer un chat, on colle des plumes à son museau et on l'accuse d'avoir attrapé une poule. (Proverbe: comme on le dit: quand on veut tuer son chien, on l'accuse de rage)	When you want to kill a cat, you stick feathers to its muzzle and accuse it of having caught a hen. (Proverb: as they say: when you want to kill your dog, you accuse him of rage)
Baoosgo, foo n são.	Malgré tout, tu vaux mieux.	In spite of that, you are better off.
Baoosg fãa, fo ka tar bʋʋm ye.	Malgré tout tu n'as pas raison.	In spite of that you are not right.
Bar-pɛɛbd sã n fʋʋs nif n kong, bɩ wɩ-pɛɛbd vʋʋse.	Si le joueur de cor souffle en vain dans l’œil (pour faire sortir le brin de saleté), alors le joueur de flûte ne s'y essaye pas ! (proverbe: si celui qui a plus de moyens n'arrive pas à faire quelque chose, celui qui est en manque de moyens n'y arrivera pas)	If the horn player blows into the eye in vain (to get the bit of dirt out), then the piper does not try! (proverb: if the one who has more means cannot do something, the one who is in lack of means will not succeed)
A teedã rʋra bara.	Ses affaires / outils sont en désordre.	His belongings/tools are messy.
a yĩnsã rʋga bara!	son corps est très chaud.	her body is very hot.
Baraar la a rog yã.	Ce jour-là elle a accouché.	At that day she gave birth.
Koom gɩdgr zĩig sẽn me.	Retenue d'eau construite.	Dam built to keep the water in one place.
mam barame, m ka le tõe ye.	Je laisse tomber, je ne peux plus.	I give up, I can't any more.
Yolgã wʋrgame tɩ ki wã barge.	Le sac s'est cassé et le mil s'est éparpillé.	The bag broke and the millet was scattered.
Y barka. Wẽnd na kõ d nin daare.	Merci. Que Dieu nous donne un autre jour. (À la prochaine)	Thank you. May God give us another day. (See you next time).
Sẽemd sã n ka yiri yʋgempend n basd koom.	Quand le porc-épic est absent de la maison, c'est le hérisson qui fait la libation. (Proverbe: l’intérimaire est appelé à prendre les décisions pour la bonne continuité du service et des affaires pendant l'absence du patron.)	When the porcupine is away from the house, the hedgehog makes the libation. (Proverb: the temporary worker is called upon to make decisions for the good continuity of service and business while the boss is away.)
A sika a rɩɩbã n bas ne ned ning sẽn gũud teedã.	Il laissa ses affaires entre les mains du gardien des bagages.	He left the food with the officer in charge of the supplies.
A sẽn ka bas yard ne nebã yĩnga, a ka sak tɩ b pɩʋʋg a soolmã n loog ye.	Puisqu'il n'a pas fait confiance, il n'a pas accepté qu'ils traversent son territoire.	Because he didn't trust them, he didn't allow them to cross his territory.
bas-m-yam ka be ne naam baoobẽ.	bas-m-yam ka be ne naam baoobẽ.	bas-m-yam ka be ne naam baoobẽ.
Bas-taal kae ne yũug hagiimd ye.	Le pèlerinage du chat n'inspire pas la confiance. (Proverbe, sens: il faut toujours avoir un comportement exemplaire pour être crédible et avoir al confiance des gens)	A pilgrimage of a cat does not inspire confidence. (Proverb, meaning: You have to have a good behaviour to get the confidence of the people)
ya n yaa bõe zabr tɩ bas-yard ka be?	ya n yaa bõe zabr tɩ bas-yard ka be?	ya n yaa bõe zabr tɩ bas-yard ka be?
A yĩngã yaa tʋʋlg basa.	Son corps est chaud.	His body is hot.
Ned basda baag a soab yĩnga.	On épargne un chien à cause de son propriétaire. (Proverbe: la crainte, l'admiration,ou le mépris qu'on a d'un individu est aussi porté sur tout ce qui lui appartient.)	We spare a dog because of its owner. (Proverb: the fear, the admiration, or the contempt that one has of an individual is also carried on all that belongs to him.)
Ned kõn bas kur n pʋgd kãan-woabg ye.	On ne délaisse pas la tortue pour pourchasser une pintade boiteuse. (Proverbe: quand es opportunités se présentent à quelqu’un, il doit saisir celle qui lui est plus accessible et non celle qui lui paraît meilleur mais difficile d'accès, sinon il va perdre les deux)	We do not abandon the turtle to chase a lame guinea fowl. (Proverb: when opportunities present themselves to someone, he must seize the one that is most accessible to him and not the one that seems better to him but difficult to access, otherwise he will lose both)
kẽer boonda kom tɩ bã-maasga.	kẽer boonda kom tɩ bã-maasga.	kẽer boonda kom tɩ bã-maasga.
Bi-bãadga. Bi-bẽedga.	Enfant maladif.	Sickly child.
Ninsaal bɛy yaa bãag bala.	Le pire ennemi de l'homme est la maladie. (Proverbe: l'homme doit prendre soin de sa santé, car sans la santé,rien ne peut être réalisé.)	The worst enemy of man is disease. (Proverb: man must take care of his health, for without health nothing can be achieved.)
ad a zagl pagã bãana, reng-reng woto wa wĩiri.	ad a zagl pagã bãana, reng-reng woto wa wĩiri.	ad a zagl pagã bãana, reng-reng woto wa wĩiri.
Wẽnd na gãneg-y bãane.	Que Dieu vous couche paisiblement.	May God lay you down quietly.
a bʋka zomã tɩ lebg bãanega.	a bʋka zomã tɩ lebg bãanega.	a bʋka zomã tɩ lebg bãanega.
lebg n bʋk zomã t'a bãanem ka sek ye.	lebg n bʋk zomã t'a bãanem ka sek ye.	lebg n bʋk zomã t'a bãanem ka sek ye.
A zĩnd bãanem.	Il s'est assis tranquillement.	He sat down peacefully.
kẽnd-y bãanem-bãanem	Allez doucement	go slowly
Bõanga pʋʋr wɩkame bãense.	Bõanga pʋʋr wɩkame bãense.	Bõanga pʋʋr wɩkame bãense.
Poanda bãka	Poanda bãka	Poanda bãka
Kooom-bãmba. Kom-kãensã	Ces enfants (là-bas).	These children (over there).
Bãmba waa ka zaamẽ.	Ceux-là sont venus ici hier.	These came here yesterday.
bãmba waa ka zaame.	Ceux-là sont venus ici hier.	They came here yesterday.
Bãmb zakã la woto.	Voici leur maison.	Here is their house.
A nobame t'a pʋga lebg bãmbre.	Il a grossi et son ventre est boursouflé.	He has grown and his belly is swollen.
Tɩɩga bãmame.	L'arbre est devenu touffu.	The tree has grown thick.
yel-bãnde; tʋʋm-bãnde	mystère; miracle	mystery; miracle
Bãn daoa nodr kaam.	Applique de l'huile sur la plaie de l'homme.	Apply oil on the wound of the man.
Bãneg f kẽnã.	Ralentis ta marche.	Walk slower.
A bãnesda wed-moose.	Il dompte des chevaux.	He tames horses.
Tẽn-noog kae ye, bãng n zĩnd n be.	Il n'y a pas de village intéressant, le tout est de savoir cohabiter. (Proverbe: on doit adopter une bonne conduite, avoir des bonnes relations avec les habitants, bien s'intégrer)	There is no such thing as an interesting village, the key is knowing how to live together. (Proverb: one must adopt a good behaviour, have good relations with the inhabitants, integrate well)
Bãngenlɛgsr gɛl pa wãbd me, solgdame.	Même si les œufs du gecko ne se mangent pas, il préfère de se cacher. (proverbe: chacun doit veiller à ses bien pour empêcher leur destruction)	Even if the gecko's eggs cannot be eaten, it prefers to hide. (proverb: everyone must watch over their property to prevent their destruction)
Da solg seb-kãngã bãngr goamã ye, bala, wakat kolgame.	Ne tiens pas cachées les paroles prophétiques de ce livre, car le moment fixé pour tous ces événements est proche.	Do not keep the prophetic words of this book a secret, because the time is near when all this will happen. Rev. 22:10)
La rasem a nii daar sẽn ya biigã bãong kẽesg daarã, sẽn ta, b pʋda a yʋʋr t'a Zã.	Et lorsque furent accomplis les huit jours pour sa circoncision, il fut appelé du nom de Jean.	And at the end of eight days, when he was circumcised, he was called John.
Rogmã rasem a nii daare, b waa ne bi-bilfã n na n kẽes bãongo.	Le huitième jour après la naissance ils vinrent pour circoncire l'enfant.	On the eighth day they came to circumcise the child.
Ad yaa wĩntoog ra bãng yʋng bãong ye.	A la journée de ne pas chercher à découvrir les secrets de la nuit. (proverbe: chacun pense que la situation de l'autre est meilleure tout simplement parce qu'il en ignore les réalités)	The daylight should not to try to discover the secrets of the night. (proverb: each thinks that the situation of the other is better simply because he ignores the realities)
Kom-bãoonegã.	Les jeunes.	The young people.
A bee be.	Il est là-bas.	He is over there.
M bee ka.	Je suis ici.	I am here.
Be-zʋʋr ka gãngd bugum ye.	Celui qui a une queue n'enjambe pas le feu. (proverbe: toute personne qui a la responsabilité d'autres personnes doit se soucier de ces personnes quand il voudra poser des actes)	He who has a tail does not step over fire. (proverb: anyone who is responsible for other people must be concerned about these people when they want to take action)
sagbã pa moe tɩ kẽ ye, a midgame n ya bed-bede.	Le tô n'est pas bien fait, il est trop mou et s'écoule.	The millet porridge is not well done, it is too soft and flows.
Ra rɩk f wẽ-bil n tek wẽ-bedr ye.	Il ne faut pas prendre ton petit coup pour échanger contre un coup violent. (Proverbe: quand on provoque plus fort que soi, il est évident qu'on risque de recevoir une réplique plus forte.)	You must not take your little blow to trade for a violent blow. (Proverb: when you provoke stronger than yourself, it is obvious that you risk receiving a stronger response.)
A yaa bilf n yɩɩd bõn-buud a taabã fãa, la a sẽn wa n bɩ, a yaa bedr n yɩɩd zẽed buud fãa.	C'est la plus petite de toutes les graines; mais quand elle a poussé, c'est la plus grande de toutes les plantes du jardin.	It is the smallest of all seeds, but when it grows up, it is the biggest of all plants.
Ned pa yãt pesg bedrem n lebg laagd ye.	On ne doit pas voir la grosseur du mouton et se faire passer pour un fossoyeur. (proverbe: nous ne devons pas nous déshonorer, ternir notre image et notre dignité à cause d'un avantage quelconque. Il faut toujours résister aux offres et aux opportunités déshonorantes.)	We must not see the size of the sheep and pretend to be a gravedigger. (proverb: we must not dishonour ourselves, tarnish our image and our dignity because of some advantage. We should always resist dishonourable offers and opportunities.)
Noor ka rɩt noog n togs beed ye.	La bouche ne mangera pas du bon et raconter du mauvais [de celui qui lui a donné]. (Proverbe)	The mouth won't eat good things and then speak bad things [about the giver]. (proverb)
a yaa beed soaba	Il n'est pas généreux.	he is not a generous person.
Naoor a wãn la m ba-biig na n beeg maam tɩ mam kõ-a sugri?	Combien de fois mon frère pourra-t-il pécher contre moi et devrai-je lui pardonner?	How often will my brother sin against me, and I forgive him?
Kõ-y tõnd d beegrã sugri, tɩ tõnd me kõta neb nins fãa sẽn beegd tõndã sugri.	Pardonne-nous nos péchés, car nous aussi, nous pardonnons à quiconque nous offense.	Forgive us our sins, for we ourselves forgive everyone who is indebted to us.
a bʋda nangur-n-beell tɩ yi.	Il a semé une grain d'arachide.	He sowed a peanut seed.
Laafɩ beeme.	Il y a la santé.	There is health.
Y baaba beeme?	Est-ce que votre père est là?	Is your father there?
Bala, tõnd sẽn beẽ wã, yaa we-rasempʋɩɩga.	Car nous sommes ici dans un lieu désert.	For we are here in a desolate place.
y mok filim kãngã sẽn yaa wokã begs-begsã.	télécharger des parties de ce long film.	download parts of this long movie.
A beka soaambã ne rasaare n lubi.	Il jeté un bâton sur le lièvre et l'a fait tomber.	He threw a stick at the hare and knocked it down.
A yẽndã yaa bel-bel n dat n lʋɩ.	Sa dent est branlant sur le point de sortir.	His loose tooth is about to come out.
Mam yẽnda bendame n dat n lʋɩ.	Ma dent bouge et elle veut tomber.	My tooth moves and falls out.
Bi-bɛɛg belem nooma keelem daare.	L’existence d'un enfant téméraire s'apprécie le jour de danger. (Proverbe)	The existence of a reckless child is appreciated on the day of danger. (Proverb)
Goam ka yõo yaa muk ma la b bɛlgda. Goam ka yõod belgda muk ma.	Dire que parler n'a pas d'importance, c'est pour consoler la mère du sourd-muet. (proverbe)	Saying that speaking is not important, is to console the mother of a dumb / deaf person. (proverb)
F sã n belg yãag t'a koodame, a kɛɛda a baaba nao-bi.	Quand on félicite un enfant parce qu'il cultive bien, il coupe les orteils de son père. (Proverbe: Les félicitations et les encouragements poussent à vouloir faire mieux, à exceller. Ce qui peut engendrer des débordements, des dérapages néfastes. Tout excès nuit.)	When you praise a child for cultivating well, he cuts off his father's toes. (Proverb: Congratulations and encouragement encourage people to want to do better, to excel. This can lead to excesses, harmful slippages. Any excess is harmful.)
tɩ a = t'a	que il = qu'il	he will = he'll
Awa belsda a biigã.	Awa console son enfant.	Awa comforts her child.
Yaa sɩd-sɩd bɩ yaa belsem-belsem?	C'est pour de vrai ou bien pour s'amuser?	Is it for real or for amusement?
Mam paamda belsgo.	J'ai reçu une consolation.	I got comfort.
Saagã neng yaa bem-bem; tõe t'a ni.	Le ciel est couvert, il se peut qu'il va pleuvoir.	The sky is overcast, it may rain.
Bõe rabeem n tar foo tɩ fo yɛs n bemd a woto?	Quelle peur t'a pris que tu trembles comme ça?	What fear took you that you were shaking like that?
ko-bendã.	eau bouseuse.	blurred water.
Niisã bendga bãkã koom.	Les bœufs ont rendu l'eau trouble.	The oxen have made the water cloudy.
Nin-kẽem pa zoet beng-puudẽ zaalem ye, sã n pa bũmb n digd-a, yẽ n digd bũmbu.	Quand un vieux court dans un champ de haricot fleuri, s'il ne pourchasse pas quelque chose, quelque chose le chasse. (Proverbe: l'homme ne prend pas des risques gratuitement, S'il n'y est pas contraint, il voit ses intérêts)	When an old man runs through a field of flowering beans, if he isn't chasing something, something is chasing him. (Proverb: man does not take risks for free, If he is not forced to, he sees his interests)
, . ; ? !	, . ; ? !	, . ; ? !
Kuil beoogo.	Pars demain.	Go home tomorrow.
Wẽnd na n kõt beoogo!	Que Dieu nous donne demain (à nous revoir)	May god give us tomorrow (hope to see you again tomorrow).
A raada a teedã bilf-bilf n beoonda.	A raada a teedã bilf-bilf n beoonda.	A raada a teedã bilf-bilf n beoonda.
no-beosgo	bouche ébréchée	chipped mouth
A rʋga yogrã tɩ bɩ n berge.	Elle a cuit une courge qui est devenu trop cuit et moue.	She cooked a squash which became overcooked and pout.
A bẽeme n kaoos n yaool n ki.	Il est décédé après avoir été malade pendant longtemps.	He died after being ill for a long time.
Wi-kɩtã bẽe a nengã sõama.	Le tatoueur a incisé son visage.	The tattoo artist incised her face.
Sagbã nan ket n yaa bẽ-bẽ.	Le tô n'est pas encore très consistant.	The millet porridge is not very consistent yet.
biiga bõo kaam n sõ ne tʋʋlgã n yɛs bẽe	biiga bõo kaam n sõ ne tʋʋlgã n yɛs bẽe	biiga bõo kaam n sõ ne tʋʋlgã n yɛs bẽe
A bẽedame.	Il est malade.	He is sick. He is ill.
A moee sagbã bẽeg woto n dɩglge.	A moee sagbã bẽeg woto n dɩglge.	A moee sagbã bẽeg woto n dɩglge.
Fuugã a sẽn da ningã yaa bẽend-bẽende.	L'habit qu'il portait était rayé.	The coat he wore was striped.
Fu-bẽesem-bẽesem.	Habit rayé.	Striped garment.
Saagã poore, kambã taba zakã noor tɩ lebg bẽga.	Saagã poore, kambã taba zakã noor tɩ lebg bẽga.	Saagã poore, kambã taba zakã noor tɩ lebg bẽga.
Yãk kiuugã yaood bilf n bẽgen yaa, tɩ f ka mi beoog ye.	Épargne une partie du salaire et met le de côte, car on ne sait jamais si on l'a besoin dans l'avenir.	Save part of the salary and put it aside, because you never know if you will need it in the future.
A bẽka bagãe wã ne kukur n lubi.	A bẽka bagãe wã ne kukur n lubi.	A bẽka bagãe wã ne kukur n lubi.
A bẽna gĩsã ne taan-sũm.	A bẽna gĩsã ne taan-sũm.	A bẽna gĩsã ne taan-sũm.
Tɩɩmã soab maoome t'a na n bẽneg-a wãoodo, la a ka tõog ye.	Tɩɩmã soab maoome t'a na n bẽneg-a wãoodo, la a ka tõog ye.	Tɩɩmã soab maoome t'a na n bẽneg-a wãoodo, la a ka tõog ye.
